# MJD 5_sigma_depth filter
62038.37685 23.252 i
62042.04797 24.728 g
62042.30612 24.263 r
62044.07057 23.866 r
62044.19583 23.866 r
62045.11946 23.866 r
62046.11644 23.866 r
62046.23580 23.866 r
62046.29484 23.866 r
62047.17910 23.866 r
62048.18123 23.866 r
62048.22844 23.866 r
62049.06284 23.866 r
62050.13376 23.252 i
62050.25485 23.252 i
62051.13890 23.866 r
62051.24382 23.866 r
62051.33317 24.728 g
62052.07935 23.866 r
62053.01389 24.728 g
62053.20573 23.866 r
62054.21112 23.866 r
62055.24458 23.252 i
62057.10016 23.866 r
62057.18435 24.728 g
62057.22873 24.400 g
62057.27275 24.400 g
62058.21830 23.866 r
62059.15102 23.289 u
62059.25562 23.866 r
62060.00196 23.252 i
62060.10288 24.400 g
62061.04558 23.866 r
62061.09789 24.400 g
62061.15396 23.866 r
62061.23955 24.400 g
62064.01902 23.252 i
62064.18590 24.555 g
62065.00781 23.252 i
62067.16112 24.555 g
62068.16383 23.252 i
62068.20905 23.542 r
62070.13337 23.252 i
62070.18308 24.555 g
62071.04756 23.542 r
62071.12649 23.542 r
62072.08170 24.555 g
62073.08583 23.252 i
62073.12880 22.280 y
62074.12020 23.542 r
62075.09659 23.542 r
62076.14348 24.749 g
62076.26464 23.542 r
62078.15009 24.749 g
62079.14546 23.542 r
62080.07248 23.542 r
62080.16534 23.542 r
62080.21590 24.749 g
62081.12405 23.542 r
62082.09189 24.749 g
62083.12591 24.749 g
62084.17458 23.542 r
62087.08884 24.749 g
62087.20424 24.749 g
62088.06198 23.542 r
62088.11304 23.542 r
62088.19836 24.749 g
62089.04513 23.542 r
62089.09800 24.749 g
62089.16162 23.542 r
62089.21824 23.542 r
62092.05696 23.542 r
62092.12591 24.749 g
62093.12095 23.252 i
62094.04823 24.749 g
62094.16943 23.542 r
62100.08876 23.542 r
62100.21105 24.520 g
62105.08755 23.542 r
62106.11713 23.252 i
62106.19818 23.542 r
62108.15861 23.542 r
62110.05164 24.520 g
62111.06877 23.542 r
62111.11491 23.542 r
62113.09822 24.807 g
62113.15942 23.542 r
62117.03289 23.252 i
62117.14568 23.542 r
62118.11479 23.542 r
62122.12574 23.542 r
62123.10373 23.252 i
62124.03639 24.807 g
62124.08106 24.807 g
62125.03690 23.542 r
62128.05043 23.542 r
62146.04038 23.542 r
62179.03664 23.542 r
62180.05326 23.542 r
62254.40339 23.766 r
62268.41330 24.010 g
62269.41594 23.766 r
62270.24914 23.363 i
62271.39231 24.010 g
62272.26069 23.363 i
62287.33828 23.766 r
62288.35574 23.363 i
62288.43550 24.010 g
62290.32198 23.766 r
62298.19324 23.766 r
62298.34689 23.766 r
62299.39103 23.363 i
62299.44354 23.766 r
62303.39927 23.766 r
62305.43990 24.010 g
62306.32779 23.363 i
62306.44050 23.766 r
62307.36218 23.766 r
62308.41353 23.363 i
62309.43524 23.766 r
62311.33867 24.010 g
62313.32946 22.434 z
62314.42962 24.010 g
62315.35612 23.541 r
62318.40315 23.541 r
62320.34228 23.109 i
62320.44218 23.541 r
62324.40873 23.074 u
62325.29506 23.917 r
62325.36590 23.917 r
62325.41117 23.917 r
62326.20714 24.014 r
62327.38353 24.014 r
62327.44052 24.014 r
62328.33750 24.014 r
62328.42306 23.479 i
62329.12233 24.063 g
62329.32134 24.063 g
62329.40840 24.063 g
62330.16134 24.067 r
62331.35863 24.067 r
62331.42725 24.351 g
62332.23454 24.067 r
62332.36005 24.067 r
62333.34834 24.351 g
62333.42684 24.067 r
62334.37911 24.067 r
62335.36529 24.351 g
62337.31117 23.479 i
62338.39578 24.067 r
62339.34343 22.455 z
62341.32162 24.351 g
62341.40053 24.067 r
62342.31131 23.660 r
62342.41664 23.660 r
62343.21549 23.660 r
62343.26458 23.660 r
62346.36432 23.625 i
62347.33145 23.660 r
62348.05882 23.660 r
62350.20546 23.660 r
62350.43669 23.660 r
62351.28169 23.660 r
62351.35316 24.002 g
62352.40595 23.660 r
62354.21824 23.660 r
62354.34888 22.850 u
62355.27809 23.660 r
62355.36366 24.589 g
62356.21956 23.660 r
62356.31922 23.660 r
62356.38912 24.589 g
62357.27779 24.589 g
62357.32113 24.589 g
62357.38883 23.660 r
62358.38308 23.625 i
62359.34042 23.780 i
62359.43027 24.633 g
62360.23337 23.780 i
62360.36120 24.633 g
62361.40980 24.633 g
62363.23201 23.780 i
62363.35767 23.660 r
62364.17535 24.633 g
62364.28133 23.660 r
62365.33737 23.660 r
62367.10649 23.660 r
62369.15538 23.660 r
62369.29443 23.660 r
62369.34498 23.660 r
62370.25080 23.780 i
62371.27297 23.660 r
62376.27955 23.814 r
62378.17877 23.427 i
62380.19799 23.814 r
62380.28378 23.882 g
62381.21777 23.427 i
62382.04909 23.882 g
62382.33883 23.814 r
62382.38524 23.882 g
62384.24850 23.814 r
62384.34110 23.814 r
62384.38679 23.882 g
62385.26054 23.882 g
62385.30323 23.882 g
62385.38341 23.267 i
62386.15042 23.814 r
62386.23741 23.814 r
62386.29730 23.814 r
62387.24505 23.814 r
62387.31653 23.814 r
62388.23723 23.814 r
62388.29279 23.267 i
62389.19369 23.814 r
62389.24890 22.782 u
62389.33562 23.882 g
62390.18869 23.267 i
62390.31463 23.814 r
62391.23546 23.814 r
62391.34529 23.814 r
62396.17190 23.814 r
62398.07046 23.882 g
62399.12271 23.814 r
62399.23652 23.267 i
62400.11093 23.882 g
62400.17679 23.267 i
62401.21736 23.267 i
62404.21877 23.413 r
62405.07328 23.413 r
62405.21031 23.413 r
62405.28723 23.882 g
62407.07991 23.882 g
62408.26133 23.413 r
62409.20995 23.993 r
62410.18815 24.028 r
62410.23309 24.028 r
62411.19406 23.752 r
62412.12998 23.752 r
62412.25749 23.752 r
62413.14334 23.882 g
62413.19466 23.752 r
62413.36650 23.752 r
62414.05718 23.752 r
62414.10294 23.752 r
62414.22786 23.943 r
62415.21206 23.943 r
62416.17155 23.943 r
62416.21657 23.943 r
62418.19721 24.188 r
62419.16046 24.188 r
62419.21809 22.725 i
62420.20641 24.188 r
62420.33479 23.882 g
62423.22447 23.882 g
62423.37726 23.882 g
62424.32189 23.882 g
62425.11337 24.188 r
62426.14797 24.243 g
62427.09219 24.188 r
62427.24030 24.243 g
62428.10278 23.375 i
62428.15480 24.188 r
62429.10307 24.243 g
62430.18025 24.188 r
62433.14373 24.188 r
62433.18675 21.862 y
62434.29250 24.243 g
62436.03780 23.375 i
62436.09603 24.188 r
62437.14242 23.375 i
62439.08565 23.637 i
62440.12046 23.637 i
62440.17176 24.243 g
62441.11519 24.188 r
62441.17049 24.188 r
62442.04552 23.269 i
62442.11352 23.269 i
62442.16093 24.188 r
62443.06600 24.243 g
62443.12572 23.269 i
62443.20581 24.188 r
62444.06973 23.269 i
62444.12323 22.878 u
62444.18914 23.269 i
62444.24951 24.188 r
62445.03236 24.243 g
62446.06836 24.243 g
62446.14934 24.188 r
62447.11468 24.243 g
62447.16069 24.188 r
62449.04979 24.188 r
62449.12066 24.243 g
62450.35394 24.188 r
62451.07139 24.188 r
62451.13507 24.188 r
62452.21142 24.188 r
62455.03675 24.188 r
62458.10841 24.188 r
62459.25679 24.188 r
62460.12983 24.243 g
62461.26839 24.243 g
62462.23256 24.188 r
62463.07572 24.188 r
62466.16691 24.188 r
62468.16964 24.188 r
62471.14146 24.243 g
62473.05477 24.243 g
62473.14157 24.188 r
62474.12119 23.269 i
62476.11152 24.243 g
62479.04538 24.243 g
62479.14456 24.188 r
62480.23332 24.188 r
62481.23284 24.243 g
62482.18038 24.243 g
62484.05201 24.188 r
62485.05889 23.482 i
62486.08853 24.243 g
62490.14787 24.188 r
62502.04126 24.188 r
62505.17441 23.482 i
62506.04065 24.188 r
62509.04098 24.188 r
62511.04819 23.482 i
62619.36565 24.464 g
62645.41493 22.787 i
62647.40100 23.822 r
62651.43344 22.787 i
62652.36751 24.464 g
62653.20701 24.464 g
62653.31704 23.822 r
62653.37638 23.822 r
62653.42498 23.822 r
62656.29424 23.822 r
62656.37416 23.822 r
62668.44295 24.464 g
62670.35632 23.889 r
62670.42132 22.793 z
62672.35779 22.787 i
62672.44458 24.464 g
62673.36314 23.889 r
62673.41168 23.889 r
62675.23738 22.787 i
62675.44525 23.889 r
62677.18833 24.464 g
62677.42670 22.787 i
62678.40573 24.464 g
62679.19615 24.464 g
62679.29222 24.464 g
62679.36269 23.889 r
62679.43648 23.889 r
62680.28126 24.464 g
62680.36694 24.464 g
62680.41148 24.464 g
62682.13058 22.871 g
62682.41816 23.095 i
62683.35051 23.095 i
62686.26498 22.871 g
62686.44061 23.889 r
62687.36975 23.889 r
62687.43944 23.889 r
62688.40697 22.481 i
62690.10309 22.481 i
62690.44615 23.889 r
62694.16111 22.481 i
62695.21289 22.529 z
62695.33255 22.871 g
62696.23027 22.871 g
62697.24483 23.713 r
62697.38404 23.713 r
62699.29953 22.848 i
62700.04681 22.871 g
62704.17615 22.848 i
62705.40818 23.713 r
62707.27804 23.049 i
62707.34807 23.713 r
62707.41865 22.871 g
62708.33958 23.713 r
62709.14964 22.871 g
62709.21413 23.293 g
62709.36259 23.293 g
62711.18380 23.713 r
62711.32878 23.713 r
62722.13520 22.472 z
62722.38618 23.049 i
62723.31657 24.139 g
62724.29223 23.713 r
62724.38410 23.713 r
62725.11199 24.139 g
62725.15451 24.035 r
62725.20535 24.035 r
62730.28215 23.049 i
62731.20546 24.035 r
62731.31870 23.049 i
62732.25671 24.035 r
62732.31630 23.049 i
62732.42315 24.035 r
62733.13072 23.049 i
62733.37895 24.035 r
62733.42470 24.035 r
62734.25153 24.139 g
62734.30728 23.945 g
62735.32696 24.035 r
62735.42720 24.035 r
62737.20205 24.560 g
62738.19073 24.035 r
62738.23934 23.816 r
62738.32718 23.816 r
62738.41133 23.103 i
62739.15959 23.103 i
62739.31152 23.103 i
62739.39213 24.560 g
62740.12749 22.844 u
62740.22966 23.816 r
62740.27420 24.560 g
62742.27133 23.184 u
62742.31387 23.816 r
62742.35668 24.560 g
62743.20595 24.560 g
62743.27064 24.560 g
62744.15672 23.816 r
62744.24052 23.103 i
62746.11376 23.816 r
62746.37243 23.816 r
62756.15307 23.743 r
62756.29868 23.743 r
62757.27361 23.743 r
62758.25981 21.798 y
62758.38344 23.743 r
62759.12993 23.743 r
62759.23392 23.743 r
62760.14971 24.537 g
62762.09309 24.537 g
62762.14358 24.541 g
62762.28316 23.743 r
62763.13326 23.743 r
62763.18209 24.541 g
62763.30439 23.103 i
62764.21100 23.743 r
62765.27765 23.746 i
62766.18458 23.746 i
62767.19376 23.743 r
62767.24492 23.743 r
62767.28903 24.541 g
62769.29498 24.541 g
62770.20076 24.541 g
62770.30772 24.541 g
62771.04109 23.658 r
62771.22752 23.658 r
62772.06814 23.658 r
62772.21755 23.658 r
62773.12196 24.541 g
62773.16459 23.658 r
62773.21141 23.658 r
62774.13609 23.658 r
62774.21231 22.941 u
62775.26802 24.541 g
62777.23089 23.658 r
62780.04594 24.541 g
62780.18035 23.658 r
62781.12910 24.541 g
62782.11152 23.658 r
62783.15603 24.541 g
62784.20111 23.658 r
62785.14477 23.658 r
62786.18984 24.541 g
62788.22409 23.603 r
62788.30058 24.541 g
62790.15163 24.541 g
62790.20693 23.603 r
62791.21803 23.603 r
62791.27708 23.603 r
62791.32269 23.283 i
62792.10858 23.283 i
62792.21355 24.541 g
62793.18102 23.603 r
62794.10850 23.603 r
62797.28666 24.158 g
62798.05003 23.603 r
62798.17353 24.158 g
62799.06479 23.283 i
62799.21617 23.603 r
62800.05227 23.283 i
62801.12295 24.158 g
62801.24980 24.158 g
62802.08089 24.158 g
62802.17045 23.603 r
62802.30095 23.603 r
62803.07811 24.158 g
62803.18301 23.603 r
62804.09505 23.283 i
62807.11821 23.603 r
62808.08087 23.603 r
62809.15596 24.033 r
62809.22442 24.033 r
62816.10095 24.158 g
62816.14847 24.033 r
62816.24230 24.033 r
62817.11819 24.033 r
62818.11678 24.158 g
62819.01950 24.033 r
62819.06411 24.033 r
62822.32708 24.158 g
62823.08351 24.158 g
62823.12617 24.158 g
62828.07023 24.033 r
62828.12743 24.158 g
62830.06416 23.283 i
62831.11156 24.033 r
62831.15977 24.033 r
62833.06860 23.283 i
62835.04734 24.033 r
62835.08912 24.541 g
62836.08361 24.033 r
62839.20258 24.033 r
62840.04777 24.541 g
62840.10221 24.033 r
62856.07039 24.033 r
62858.08628 24.541 g
62870.05980 24.033 r
62890.08141 24.033 r
62892.16248 24.033 r
62958.40358 23.197 i
62970.39881 24.256 r
62989.35763 24.256 r
63004.41146 24.256 r
63015.39054 24.372 g
63031.15760 24.256 r
63031.43795 24.189 g
63033.41494 24.256 r
63036.25968 24.256 r
63036.42617 24.256 r
63040.30067 24.256 r
63040.40466 24.256 r
63043.20152 24.189 g
63043.25076 24.023 g
63043.42459 24.023 g
63044.40372 23.197 i
63049.43525 24.400 g
63051.40567 24.400 g
63053.36670 24.400 g
63053.41343 24.400 g
63054.27300 23.637 r
63055.28439 23.637 r
63055.35007 23.637 r
63056.36159 24.400 g
63057.36976 23.637 r
63057.43902 22.859 i
63062.18583 23.637 r
63062.26638 23.637 r
63062.41253 23.637 r
63063.19718 22.859 i
63063.33876 24.400 g
63063.39172 23.008 u
63065.39093 23.637 r
63066.33573 23.637 r
63066.40359 22.859 i
63067.25889 22.859 i
63067.36234 23.531 r
63067.43347 23.531 r
63068.37418 22.859 i
63071.28822 23.531 r
63071.36307 23.531 r
63071.40480 22.859 i
63072.11700 23.531 r
63077.32043 24.400 g
63078.30653 23.531 r
63079.41775 23.531 r
63080.21519 23.531 r
63080.32037 24.400 g
63082.24046 21.667 y
63082.41325 23.531 r
63083.31277 23.531 r
63084.30663 23.625 i
63084.37808 23.625 i
63085.29499 23.767 r
63086.36318 23.767 r
63088.31773 23.767 r
63088.43458 23.767 r
63091.42573 23.625 i
63092.20367 23.542 i
63092.26841 23.542 i
63092.37645 23.727 i
63094.04817 24.400 g
63094.35780 23.767 r
63095.19315 23.767 r
63096.29485 24.400 g
63100.17133 24.400 g
63101.39794 24.400 g
63102.17850 24.400 g
63102.24082 23.727 i
63107.27684 23.767 r
63108.05367 23.767 r
63108.12928 23.767 r
63110.13826 24.474 g
63110.26209 24.474 g
63111.19670 24.474 g
63112.30838 23.727 i
63113.24956 24.474 g
63114.30289 24.165 r
63115.27168 24.165 r
63117.19780 24.165 r
63118.27088 23.727 i
63124.13867 24.165 r
63124.20905 24.165 r
63124.25279 24.165 r
63124.33517 24.474 g
63125.12051 24.474 g
63125.20895 24.165 r
63125.25434 22.907 u
63126.16454 24.165 r
63126.25338 24.165 r
63126.36524 24.474 g
63127.06715 24.165 r
63127.15612 24.474 g
63129.23728 24.165 r
63129.30058 24.474 g
63131.10222 23.258 i
63131.21082 24.165 r
63132.12434 24.474 g
63132.23102 23.258 i
63133.17933 24.165 r
63134.14226 23.258 i
63134.29218 24.165 r
63135.08635 24.165 r
63137.16352 24.009 r
63137.23955 24.474 g
63141.02539 24.009 r
63141.18314 23.258 i
63143.18486 24.009 r
63145.08788 24.009 r
63145.19135 24.009 r
63146.13068 24.474 g
63146.29090 24.474 g
63147.21740 24.009 r
63147.34535 24.009 r
63148.14706 23.258 i
63148.24235 24.009 r
63148.28861 24.009 r
63150.17918 24.009 r
63150.22177 23.258 i
63151.10531 24.009 r
63151.17703 23.258 i
63151.26725 24.474 g
63152.11108 24.474 g
63152.17403 24.009 r
63152.22060 24.474 g
63153.12537 23.978 r
63153.19182 23.978 r
63153.35924 23.484 i
63154.12065 24.474 g
63154.19149 23.484 i
63155.11993 23.978 r
63155.24590 23.978 r
63155.31303 24.474 g
63156.22471 23.978 r
63157.08057 23.978 r
63157.13300 23.978 r
63158.20483 24.474 g
63158.28134 24.474 g
63159.09884 23.792 r
63159.14206 23.492 i
63161.06304 23.792 r
63161.17726 23.792 r
63162.07395 22.790 z
63162.17175 23.792 r
63164.03399 23.792 r
63164.11824 23.492 i
63165.07100 24.474 g
63166.08345 24.474 g
63167.13009 23.105 r
63167.19388 24.474 g
63168.16819 24.474 g
63169.11786 22.245 z
63171.16287 24.474 g
63172.06758 23.105 r
63173.11560 23.547 r
63174.08985 23.547 r
63175.14226 24.045 r
63176.04499 24.045 r
63176.09039 24.045 r
63176.13237 24.045 r
63178.11145 23.492 i
63181.07778 22.739 u
63182.08763 24.045 r
63182.13881 24.045 r
63182.27094 23.492 i
63183.01338 24.045 r
63183.06569 24.045 r
63183.11703 24.045 r
63183.31611 24.045 r
63186.06083 24.045 r
63188.01779 24.045 r
63188.11297 24.098 g
63188.16038 24.098 g
63190.05052 24.045 r
63191.04345 24.175 g
63191.09579 24.175 g
63191.17642 24.045 r
63193.18056 24.045 r
63194.09262 23.492 i
63195.08405 24.045 r
63201.08304 24.045 r
63210.12600 23.492 i
63211.14935 24.045 r
63212.03207 24.045 r
63212.09691 23.492 i
63214.07701 23.492 i
63219.09784 24.175 g
63222.17889 24.175 g
63230.06491 24.045 r
63239.03916 23.492 i
63239.13888 23.492 i
63240.03907 24.045 r
63240.08360 24.045 r
63242.06418 24.045 r
63245.08736 24.045 r
63318.36883 23.343 r
63339.38395 23.343 r
63348.35622 23.343 r
63351.38750 23.343 r
63354.39953 23.343 r
63358.41024 23.165 i
63359.37984 23.494 g
63363.32819 24.086 g
63363.38402 23.343 r
63372.33332 24.086 g
63372.41647 23.343 r
63374.18770 23.343 r
63376.28538 23.343 r
63379.34873 21.609 y
63380.41066 24.136 g
63387.15624 24.136 g
63387.31412 23.165 i
63388.43669 23.883 r
63389.36568 24.136 g
63391.42119 24.136 g
63400.23851 23.268 i
63401.28987 23.268 i
63403.43381 23.883 r
63404.28642 24.136 g
63407.29520 21.503 y
63407.44528 24.136 g
63411.32002 23.883 r
63411.36583 23.883 r
63417.39575 23.883 r
63417.44204 23.883 r
63418.32826 22.558 i
63418.44307 23.883 r
63420.34668 24.579 g
63421.22266 23.883 r
63421.32102 23.883 r
63421.44241 22.515 u
63422.30201 23.883 r
63422.38429 24.579 g
63422.43103 24.579 g
63423.12478 24.579 g
63423.32958 24.579 g
63423.40017 23.883 r
63425.31747 24.579 g
63425.42411 24.579 g
63426.17436 23.883 r
63427.40019 24.579 g
63429.19150 23.883 r
63429.34595 23.883 r
63429.39226 22.558 i
63430.43714 23.883 r
63431.31428 23.883 r
63431.36940 23.883 r
63433.19127 21.887 z
63433.43604 24.579 g
63434.44063 23.776 r
63435.30381 23.776 r
63435.42471 22.483 i
63436.14516 23.503 g
63436.30061 22.483 i
63437.25086 23.776 r
63437.35137 23.776 r
63438.16815 22.483 i
63439.33845 23.776 r
63439.38081 23.776 r
63439.42814 23.503 g
63440.33727 22.483 i
63440.42237 22.483 i
63443.12778 23.503 g
63443.39425 23.776 r
63443.43954 23.776 r
63451.23314 24.032 r
63451.28440 23.503 g
63451.33274 24.032 r
63452.32764 23.867 r
63453.05934 23.867 r
63453.35056 23.155 u
63454.26956 23.503 g
63454.34282 23.867 r
63456.15663 23.201 i
63456.29873 23.201 i
63456.34854 23.503 g
63457.39003 23.867 r
63458.35793 24.460 g
63459.27947 23.867 r
63459.40250 23.201 i
63460.22516 23.867 r
63462.14120 22.497 z
63463.13630 23.867 r
63463.35193 24.460 g
63464.12436 23.867 r
63467.22346 23.867 r
63468.24814 24.460 g
63469.07597 23.198 i
63469.23932 23.867 r
63469.33664 23.867 r
63470.28275 23.867 r
63470.35671 23.867 r
63472.14832 23.867 r
63472.32829 23.867 r
63473.13292 23.867 r
63473.18912 24.460 g
63473.30806 24.438 g
63474.06594 23.198 i
63474.22775 23.867 r
63475.13830 23.867 r
63475.24603 23.867 r
63476.19072 24.438 g
63476.26338 24.438 g
63476.32928 23.124 r
63477.07763 23.124 r
63477.23851 24.438 g
63480.14332 24.438 g
63487.07094 23.124 r
63488.25065 23.124 r
63490.20297 23.124 r
63491.08721 24.438 g
63491.19975 23.198 i
63491.24277 23.124 r
63492.07402 23.124 r
63492.22450 24.438 g
63493.07804 24.438 g
63493.21755 24.438 g
63493.32088 24.438 g
63494.08689 23.124 r
63494.15334 23.124 r
63494.30425 23.124 r
63495.16097 24.438 g
63495.23771 23.124 r
63496.15781 23.124 r
63499.19661 23.124 r
63500.14299 24.438 g
63500.33919 23.124 r
63500.39101 23.124 r
63501.18199 23.124 r
