# MJD 5_sigma_depth filter
60479.27044 23.464 r
60479.33787 24.920 g
60482.33541 23.464 r
60482.39788 24.920 g
60483.43734 24.920 g
60484.32980 24.920 g
60485.35889 24.165 r
60486.40072 24.165 r
60487.28988 24.165 r
60487.39719 24.165 r
60487.44328 21.373 y
60490.39027 24.165 r
60491.42265 24.165 r
60493.42753 24.165 r
60494.43669 24.165 r
60495.25850 24.165 r
60495.38860 24.165 r
60495.44192 24.165 r
60497.44166 24.165 r
60498.34183 24.920 g
60499.37013 23.321 i
60499.42916 24.165 r
60501.38384 23.321 i
60501.42851 24.920 g
60502.43889 24.165 r
60506.40981 24.165 r
60507.34281 24.165 r
60507.40899 22.574 i
60508.24323 24.165 r
60509.33674 24.165 r
60510.32523 24.165 r
60510.37102 24.920 g
60511.25007 24.165 r
60511.32080 24.165 r
60511.40088 24.165 r
60512.20905 24.165 r
60512.28907 24.920 g
60512.38392 21.150 y
60512.42657 24.165 r
60514.26749 24.165 r
60514.31985 21.724 z
60515.37911 24.165 r
60515.43882 24.165 r
60516.24762 24.165 r
60516.40326 21.937 z
60517.34715 21.983 z
60517.42269 24.920 g
60518.32422 24.920 g
60518.43522 24.920 g
60520.24233 24.920 g
60521.33286 24.165 r
60531.29984 23.837 r
60531.34766 23.308 u
60535.39654 23.837 r
60537.27385 23.837 r
60537.36263 22.574 i
60538.29281 23.837 r
60539.32828 23.837 r
60541.19884 23.837 r
60541.24840 22.574 i
60541.29057 23.837 r
60542.24883 23.837 r
60542.29213 22.516 z
60542.35117 24.920 g
60543.21682 23.837 r
60544.19336 22.574 i
60545.25032 23.837 r
60545.29602 21.967 y
60546.16994 23.837 r
60546.22591 23.837 r
60546.32507 24.920 g
60547.29469 23.837 r
60548.35597 23.837 r
60549.24214 23.837 r
60549.31000 23.940 r
60550.26177 23.940 r
60553.13505 23.940 r
60553.27453 23.940 r
60554.31800 24.920 g
60555.23014 23.940 r
60555.37128 23.940 r
60556.32623 23.940 r
60557.20410 23.940 r
60558.24253 24.920 g
60559.19172 24.920 g
60559.25157 24.920 g
60559.30296 23.940 r
60560.26595 24.920 g
60564.28524 23.940 r
60565.28079 24.920 g
60566.18258 23.940 r
60566.26699 23.940 r
60567.10949 23.940 r
60567.23800 23.390 i
60568.13590 23.940 r
60568.28405 23.940 r
60568.35819 23.940 r
60569.16861 23.390 i
60570.16081 24.920 g
60570.38209 23.940 r
60571.13073 24.920 g
60571.17495 24.920 g
60572.15211 24.920 g
60572.38296 23.390 i
60574.23108 24.920 g
60575.21516 23.940 r
60575.28644 23.940 r
60575.39340 24.920 g
60580.19753 23.940 r
60581.18885 23.390 i
60582.14894 23.390 i
60582.24315 24.920 g
60582.30356 23.940 r
60583.21405 23.940 r
60584.11995 23.940 r
60584.18484 23.940 r
60585.17149 23.940 r
60585.22216 23.940 r
60586.11959 24.920 g
60586.16595 23.940 r
60586.35553 23.940 r
60587.05846 23.390 i
60587.11608 24.920 g
60587.32207 23.940 r
60588.04274 23.940 r
60588.23637 24.920 g
60589.07316 24.920 g
60590.08772 23.940 r
60590.13321 23.940 r
60590.25786 23.730 i
60590.30191 24.920 g
60591.04715 24.920 g
60591.21587 23.940 r
60592.13438 23.730 i
60593.11736 23.940 r
60593.25203 23.730 i
60595.20899 23.940 r
60596.06868 23.940 r
60596.12032 23.940 r
60596.26162 23.940 r
60597.09278 23.940 r
60597.15457 21.973 y
60598.10569 23.940 r
60599.08086 24.445 r
60599.13808 24.445 r
60600.08425 23.730 i
60600.16454 24.445 r
60600.30396 24.920 g
60601.13862 21.783 y
60602.20334 24.445 r
60603.15473 24.445 r
60604.12428 24.920 g
60604.22824 24.445 r
60605.12111 24.445 r
60606.09287 23.730 i
60606.15348 24.920 g
60607.13914 24.920 g
60607.19336 23.730 i
60608.09538 24.920 g
60610.17579 24.445 r
60610.22647 24.445 r
60611.09587 23.730 i
60611.15718 24.445 r
60611.25587 24.445 r
60612.13241 23.682 u
60612.23928 24.445 r
60614.10767 24.445 r
60614.15623 24.920 g
60616.07662 24.445 r
60616.21101 24.445 r
60622.12796 24.445 r
60623.20449 24.445 r
60624.05591 24.920 g
60625.04829 24.445 r
60626.15094 24.445 r
60627.19809 24.445 r
60629.12929 24.445 r
60630.13745 24.920 g
60630.18906 24.920 g
60631.09068 24.445 r
60631.19723 24.445 r
60632.08117 24.445 r
60633.13726 24.445 r
60635.11738 24.920 g
60636.05944 24.445 r
60638.03953 23.730 i
60639.07032 24.445 r
60641.13353 24.445 r
60641.18833 24.445 r
60642.09929 24.920 g
60643.10119 24.445 r
60643.17266 24.445 r
60645.08959 24.920 g
60645.14993 24.920 g
60646.02596 24.920 g
60646.06906 24.445 r
60647.06932 23.730 i
60648.06372 24.445 r
60648.16596 24.920 g
60650.18307 23.730 i
60651.09159 24.445 r
60654.06492 24.445 r
60655.07770 23.730 i
60656.20365 24.920 g
60666.08752 24.445 r
60672.09097 24.920 g
60678.03885 24.445 r
60811.42274 24.348 g
60813.41348 23.817 r
60814.41641 23.817 r
60815.42586 24.348 g
60816.42617 24.348 g
60825.43198 24.348 g
60827.35635 24.348 g
60827.44075 23.275 i
60829.36681 23.817 r
60831.36137 24.348 g
60831.43693 23.275 i
60842.39639 23.817 r
60843.37508 23.817 r
60843.41977 23.446 i
60844.43271 24.348 g
60847.41929 23.446 i
60850.34236 23.817 r
60850.41963 24.348 g
60853.44126 23.817 r
60856.40589 24.348 g
60859.43409 23.817 r
60860.38016 24.348 g
60861.40035 24.348 g
60861.44330 24.348 g
60863.33928 24.348 g
60864.37420 23.817 r
60869.34520 23.817 r
60869.41016 24.448 g
60870.37628 24.448 g
60871.39162 23.817 r
60871.44022 23.817 r
60876.29969 23.817 r
60876.36633 23.817 r
60876.42972 23.629 i
60877.22410 24.448 g
60877.34131 23.817 r
60877.39520 23.817 r
60878.36131 23.817 r
60879.43323 23.369 i
60880.36191 24.448 g
60881.26703 24.183 r
60881.38396 23.369 i
60881.42964 24.183 r
60882.27373 24.183 r
60882.41888 23.369 i
60885.26512 23.369 i
60885.33087 23.369 i
60886.32588 24.448 g
60886.36896 24.183 r
60887.22130 24.183 r
60888.42741 24.183 r
60889.20975 24.448 g
60889.35757 23.369 i
60890.39464 24.183 r
60894.18191 24.183 r
60894.34602 24.448 g
60895.21632 23.340 i
60896.26863 23.340 i
60897.23841 23.737 r
60897.29188 23.737 r
60899.19301 23.737 r
60899.38300 23.737 r
60900.39873 23.737 r
60902.36626 24.614 g
60903.23847 23.737 r
60903.30574 23.737 r
60903.34819 23.737 r
60904.33997 24.614 g
60905.25734 23.737 r
60905.34812 23.340 i
60906.29294 23.737 r
60906.42145 23.737 r
60907.22797 24.614 g
60907.28373 24.614 g
60907.34725 23.737 r
60908.21282 24.614 g
60908.31867 24.119 r
60908.37366 24.119 r
60910.24969 24.614 g
60911.22083 23.340 i
60911.33316 24.096 r
60911.42405 24.614 g
60912.25985 24.096 r
60912.35536 23.340 i
60913.22740 23.058 i
60913.30200 24.096 r
60920.24944 23.058 i
60926.27997 23.952 r
60927.29027 23.952 r
60928.30014 23.058 i
60929.26639 23.952 r
60931.19093 23.952 r
60931.29634 23.952 r
